 Procedimentos hospitalares do SUS - por local de internação - Brasil
Valor total por Município e Ano/mês processamento
Período:Jan/2019-Ago/2020
"Município";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"Total"
"420380 Canoinhas";292376,46;285250,60;192542,97;289107,44;193186,15;287633,47;291014,71;272946,97;216094,50;266770,08;275208,47;257439,35;181047,72;247376,79;221810,98;165094,75;205514,01;243750,81;311004,04;289790,70;4984960,97
"420390 Capinzal";54465,07;33604,22;38125,59;45378,25;75081,32;45961,12;71212,57;63014,38;70697,52;68745,28;54065,11;52336,15;48158,18;56157,54;66675,67;51468,18;62645,59;48298,73;21499,28;91211,47;1118801,22
"420410 Caxambu do Sul";29525,38;32389,46;46985,87;41721,07;53152,10;40115,66;41499,81;40588,18;41750,81;42582,46;27208,55;15894,88;15179,64;30339,50;48360,49;15802,08;5025,45;7970,94;8274,87;8656,20;593023,40
"420420 Chapecó";2487169,25;2821580,85;2651154,77;2856508,24;2849159,54;3071855,24;3095625,90;2991518,74;3063120,78;2944183,15;2555396,27;2513476,94;2819302,34;3073651,44;2709623,14;2509974,99;2764226,19;2919789,43;2923893,54;2641258,63;56262469,37
"420430 Concórdia";762749,87;846869,63;931028,67;768067,33;1100054,62;982014,63;855282,14;971087,82;1047735,63;923964,99;935347,79;974589,00;969434,61;836538,26;836356,34;1001125,51;1207474,47;1090686,80;1151727,40;1240436,46;19432571,97
"420440 Coronel Freitas";11522,50;19061,88;16900,10;35407,92;60490,89;53518,59;51566,82;59613,74;52679,05;64468,31;72939,08;32706,21;31590,62;41635,16;26935,63;39037,67;8837,82;10614,68;5323,62;9201,26;704051,55
"420455 Correia Pinto";6815,51;1774,04;7441,29;8020,02;5907,07;5607,23;9594,81;4015,44;6741,46;6600,70;2680,84;4789,02;2177,68;2763,27;1317,02;1124,74;5576,44;3945,45;1686,34;-;88578,37
"420460 Criciúma";2597188,76;2725367,58;3128902,65;2535207,88;3312013,44;2831652,99;3032856,54;3416380,86;3215414,25;3444683,89;2720316,05;3080854,76;3246803,99;3414055,51;2225382,88;2261322,96;2891331,19;3310309,21;3582060,27;4997755,00;61969860,66
"420470 Cunha Porã";26845,37;73443,30;71745,77;76460,25;24021,23;33126,72;85718,14;40707,20;47801,12;24884,86;24365,76;14310,00;52354,06;25125,31;43243,36;21651,71;10676,34;17622,41;20917,45;22585,31;757605,67
"420480 Curitibanos";635123,10;564176,88;581207,70;615144,93;569177,22;482533,54;822521,38;536115,75;693465,76;655813,25;636784,87;644150,54;519294,68;674219,44;672048,22;528875,12;551558,86;664243,95;730064,28;408326,86;12184846,33
"420490 Descanso";31442,25;36077,53;31556,41;32283,05;39073,29;41258,78;33390,14;34080,97;47561,73;24401,10;46475,86;36341,32;36535,90;37931,48;28320,95;7866,22;10486,33;7905,12;20505,38;9761,02;593254,83
"420500 Dionísio Cerqueira";60834,74;52538,63;52134,98;54200,86;59466,12;56321,09;50465,51;46127,80;44816,17;44196,56;48065,76;46733,16;36697,36;36487,79;45316,86;34165,82;41248,64;51687,74;49250,70;-;910756,29
"420530 Faxinal dos Guedes";35518,99;43468,84;44869,21;41732,73;46789,02;49175,84;55361,96;62502,86;55920,95;85104,26;59632,06;81609,72;39794,18;53243,52;38270,63;22718,02;34366,04;27587,11;29370,11;21098,77;928134,82
"420540 Florianópolis";4962714,78;4646881,78;5143240,53;5958542,51;5839449,83;5652838,61;6019344,17;6451162,65;6891550,79;6659499,44;6143951,68;4549892,56;4662423,56;5400985,13;5662966,11;4425052,13;4297684,85;5241607,28;4888583,49;5133352,47;108631724,35
"420550 Fraiburgo";90159,95;63443,88;110005,27;131623,60;135873,78;102141,31;137903,71;106303,32;19612,86;108312,98;80474,20;132109,98;117954,73;72403,63;101124,00;77298,04;64401,34;72095,69;66199,53;80609,30;1870051,10
"420590 Gaspar";126673,58;132656,96;152545,40;146861,87;153758,74;156766,29;214780,34;222123,04;218543,53;214660,78;190417,86;111413,38;123759,71;150531,18;130488,38;104143,02;107855,75;191108,87;428372,25;425018,27;3702479,20
"420640 Guaraciaba";21903,61;22710,58;14794,64;19686,18;32689,11;38966,78;36241,75;46285,33;49222,11;49431,91;34707,35;43022,91;40540,67;29096,97;24177,35;33438,29;24169,48;32773,76;29738,96;29279,19;652876,93
"420650 Guaramirim";22189,45;48087,75;32870,30;51846,21;28165,16;6616,20;27011,12;13355,27;24026,78;14455,15;6378,42;8807,14;9353,27;5101,75;-;10195,29;-;3759,98;-;-;312219,24
"420660 Guarujá do Sul";26506,23;33212,33;26497,41;26655,34;26799,41;21465,70;25636,57;26687,27;18765,23;21656,82;26619,61;27731,56;16641,02;17196,15;16148,42;11112,31;10385,53;8470,14;10561,68;6385,69;405134,42
"420680 Ibicaré";4386,80;3150,52;2871,36;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10408,68
"420690 Ibirama";240620,12;220641,70;242248,43;207178,78;199497,07;310569,32;319825,94;264691,49;312192,86;314265,65;336165,31;206587,41;436201,37;266151,86;328317,58;321722,40;384141,75;385470,88;263615,58;657794,67;6217900,17
"420700 Içara";197798,49;133881,00;124528,66;133271,74;142621,65;132865,85;171688,52;158202,82;172386,78;176566,90;172119,91;165941,72;164453,46;160124,89;216377,84;241127,38;141800,13;407081,49;283313,29;292064,98;3788217,50
"420730 Imbituba";89043,98;85092,71;81157,73;115692,06;123868,00;93881,54;95522,33;105994,23;120973,39;127471,28;117204,63;152656,13;103619,92;134972,46;142935,72;114626,36;106885,38;137507,37;198846,38;182708,61;2430660,21
"420740 Imbuia";409,00;218,68;390,56;479,19;-;825,42;1910,90;1164,84;1647,73;204,50;768,25;292,62;-;-;-;-;-;-;-;-;8311,69
"420750 Indaial";183786,68;154623,06;202056,53;182884,20;183576,44;186078,89;223444,29;174511,26;185235,07;225891,39;180542,58;163702,06;193389,23;185936,11;161943,42;149324,35;200550,62;189936,44;263563,59;-;3590976,21
"420760 Ipira";2413,23;5347,44;5353,40;8129,06;10734,87;26069,73;10092,24;17931,22;16723,01;10199,20;17460,87;1384,00;10850,00;3290,74;3894,73;4434,83;3547,62;3255,14;3391,38;5718,33;170221,04
"420765 Iporã do Oeste";38677,94;24602,51;23041,71;81563,13;36889,62;42078,33;37886,31;37141,08;46995,83;35637,50;24592,47;37571,77;18985,39;24786,57;32089,53;25864,77;19035,99;19540,16;20023,59;45525,44;672529,64
"420770 Ipumirim";9606,32;14650,74;10421,28;8112,48;15381,75;25711,09;15246,26;14744,65;14011,04;12851,03;10156,65;12430,74;8140,20;15324,57;14774,65;3754,09;-;1711,38;4207,98;2748,75;213985,65
"420780 Irani";63788,00;68681,57;70984,42;60884,41;48592,49;40990,16;42918,07;49840,88;45517,11;43858,85;41711,89;30132,10;37706,18;41565,41;37641,96;38747,56;30010,37;14537,96;8550,00;1500,00;818159,39
"420790 Irineópolis";16021,99;7957,16;15364,38;27828,59;19970,70;15789,81;18590,47;23135,65;24231,46;17379,88;17024,49;16470,32;9911,46;10001,66;7327,10;10960,95;12032,68;9855,11;7395,58;10479,30;297728,74
"420800 Itá";10885,37;13450,42;17658,13;17654,79;27181,92;32295,38;28935,89;26619,24;28490,66;27753,77;26830,84;19610,22;16687,84;14199,86;14212,53;6883,45;7471,41;8408,41;11263,36;18251,02;374744,51
"420810 Itaiópolis";13726,55;18526,12;17403,26;17506,00;18895,51;25295,44;38655,09;36344,40;25741,90;15099,31;26163,30;13527,08;18237,14;17987,96;15716,48;25703,43;17637,16;5994,92;9874,41;19417,16;397452,62
"420820 Itajaí";3340235,87;4008029,68;3844767,96;4683597,40;4267567,47;4026559,97;4001479,17;4201970,46;4194498,59;4410727,93;4459837,16;4349969,31;4593525,15;4277384,58;4014698,42;3079636,64;3412511,29;3473152,63;4369003,31;4677708,99;81686861,98
"420830 Itapema";50202,36;48389,51;38867,34;30532,40;33742,70;43638,74;55264,05;35324,42;44052,68;44635,12;40864,46;31713,25;35510,04;42969,30;30443,99;14411,15;10645,29;18307,50;111088,98;83531,93;844135,21
"420840 Itapiranga";37080,22;160729,79;128900,85;127970,69;119452,61;129783,62;134198,51;142413,82;115435,69;131937,51;110939,40;123316,19;79397,66;83644,07;137869,81;21730,62;26340,08;6488,50;-;-;1817629,64
"420850 Ituporanga";364588,89;302783,73;232295,10;313378,06;259914,85;461916,37;278098,14;240088,72;419427,17;365086,21;309195,61;208658,24;271708,06;295479,93;215513,60;269712,04;228860,19;312488,06;186347,67;368380,86;5903921,50
"420870 Jacinto Machado";11190,12;16050,22;20239,85;9860,39;23381,84;20083,99;23355,89;28665,26;26587,57;21027,81;19923,14;16026,24;21403,83;22182,25;17741,82;17443,53;15405,29;14717,76;11053,71;21214,61;377555,12
"420880 Jaguaruna";38357,13;24156,09;25100,01;20986,17;24943,23;20701,87;54364,05;40198,77;44103,95;45404,49;42862,10;30829,56;19884,32;35152,81;31825,54;15650,00;13138,64;23123,81;21661,63;40358,81;612802,98
"420890 Jaraguá do Sul";1782935,96;1786205,70;1868274,45;1867308,50;2390834,06;2281512,65;1998546,15;2034053,36;2375077,63;1937126,57;2061482,18;2328608,78;1826812,08;1798067,79;2281072,12;1821840,15;1966027,90;1963097,31;1982741,73;1944864,64;40296489,71
"420900 Joaçaba";2089031,96;1401103,75;1793539,50;1249721,52;1501735,32;1904658,82;1895501,60;1961069,40;1785077,53;1760816,17;1717863,79;1313720,95;1756637,51;1635651,55;1547057,85;1251857,28;1220219,29;1591671,73;1838632,85;1717436,32;32933004,69
"420910 Joinville";7104939,80;7193138,13;6942767,19;7232740,15;8171748,06;8730286,38;8178945,43;8763644,56;8445532,24;8389220,06;7500239,35;8192824,92;7458296,66;7912960,42;7645817,12;7244051,28;7824373,06;8422145,35;9362597,02;9233609,57;159949876,75
"420930 Lages";2031963,20;2122022,08;2406446,83;2479516,72;2251841,16;2503826,36;2477148,93;2369225,76;2591737,42;2453366,29;2300584,01;1983609,84;2177258,00;2665841,51;2341959,11;2189002,33;2276667,05;2332775,13;2182479,17;2303798,85;46441069,75
"420940 Laguna";92131,20;74197,62;76490,42;71282,60;81488,12;86914,61;86984,06;65939,51;25105,89;45643,43;84066,42;-;-;-;-;-;-;-;-;-;790243,88
"420960 Lauro Muller";27188,27;26456,59;23572,88;33433,02;28494,12;30358,93;171,00;19288,51;20261,25;30358,26;35278,57;40484,21;23507,17;27472,72;31398,39;21482,62;10686,27;7482,65;-;-;437375,43
"420970 Lebon Régis";21188,13;20357,80;24434,14;19940,42;26327,60;30417,75;31842,33;29990,44;33920,03;22012,90;17500,27;7487,76;14654,75;22277,32;11707,58;1054,82;446,40;3401,19;4061,97;2965,75;345989,35
"420985 Lindóia do Sul";32482,29;26221,43;26040,71;33868,22;9401,79;43940,13;37995,22;34031,33;33878,90;35498,75;41749,13;47909,69;45583,89;44788,68;44679,40;37917,59;39937,45;29610,01;33434,76;31306,31;710275,68
"421000 Luiz Alves";12594,90;9157,34;11962,77;13120,00;16061,41;7232,28;14422,74;12628,84;14761,13;10882,55;11309,02;10809,50;12176,34;6928,53;15273,59;5934,08;10354,72;6452,38;13449,05;6041,97;221553,14
"421003 Luzerna";61233,80;87704,87;64880,08;71934,52;88198,70;84421,73;88085,78;80169,92;75503,84;82157,06;64094,94;69358,41;102310,31;75430,95;76815,98;72576,09;74260,63;78488,04;91198,48;78465,80;1567289,93
"421010 Mafra";1001944,33;1125192,32;1023088,47;1027831,60;1366102,86;1222798,20;883662,80;2231302,32;1374667,55;1344281,69;857088,11;2029871,34;1464689,37;1127394,15;1388873,24;988867,22;1176748,63;1380214,33;1394991,87;1377378,63;25786989,03
"421030 Major Vieira";29458,16;38278,97;33500,19;31265,61;45263,74;44050,61;36425,10;39586,35;42947,22;42520,01;50012,24;36034,74;28138,39;37507,78;35805,78;34011,21;31450,38;26354,22;21858,88;18291,55;702761,13
"421050 Maravilha";272489,69;244915,46;160374,87;347289,51;175422,29;337299,49;274914,40;248490,39;244857,02;293649,61;278271,77;254251,71;297058,08;237692,25;298799,25;186917,56;225322,09;233231,97;243514,66;191890,32;5046652,39
"421060 Massaranduba";11914,10;20201,87;17726,56;31607,14;25799,35;23984,80;31051,14;20492,02;11230,65;34874,64;20537,26;11751,38;18063,82;21218,31;15980,74;7357,82;6945,20;12514,96;9077,36;15343,99;367673,11
"421080 Meleiro";25112,54;23327,85;28645,94;6818,26;68123,22;90090,06;131134,37;69036,28;87503,90;138945,07;180538,55;107530,91;92459,77;164016,45;93728,68;20936,84;17232,55;30335,88;82905,23;41701,78;1500124,13
"421090 Modelo";24820,02;18542,31;20771,05;16986,14;26141,52;27017,31;24301,93;20962,42;23060,48;17509,28;20515,55;17672,16;17563,00;17556,37;19517,19;14721,15;18174,82;15428,02;14068,69;20282,61;395612,02
"421100 Mondaí";39063,18;30672,57;29740,62;42337,95;30694,79;39670,50;39178,99;36963,75;34213,65;30376,32;38376,92;31681,17;29112,86;47135,28;39232,56;36006,18;31085,82;39970,38;30308,37;34466,64;710288,50
"421110 Monte Castelo";69819,14;28440,43;61507,17;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;159766,74
"421120 Morro da Fumaça";117744,06;104862,73;143067,05;153634,94;165251,94;171817,79;171171,74;132736,74;140654,17;169388,76;158790,45;135403,50;135889,22;126554,71;112420,11;93232,55;46854,28;58295,67;72169,62;135186,48;2545126,51
"421130 Navegantes";76755,89;88233,84;106803,66;111112,73;129588,02;113128,16;116214,35;87793,51;109704,77;99792,43;84703,60;66787,34;88696,42;87847,39;76252,37;95323,02;69081,43;78371,13;99022,59;-;1785212,65
"421140 Nova Erechim";19747,73;26431,60;32159,36;33305,16;48550,15;22500,17;46081,69;63971,04;51595,08;45425,34;38735,23;27307,66;27634,65;55329,17;43465,34;5327,59;10235,35;64411,67;77650,11;48360,95;788225,04
"421150 Nova Trento";34721,01;28839,55;53296,30;99485,02;48392,55;81730,73;88444,64;75590,39;57487,72;75400,91;80881,17;23809,74;18773,52;47876,40;55859,80;8876,13;21356,77;24973,96;51718,84;27736,61;1005251,76
"421160 Nova Veneza";62803,05;16625,78;16130,38;3319,61;55181,37;18223,58;2775,39;37913,34;22546,10;5164,07;2236,06;5533,58;4046,85;6954,40;7270,75;2226,04;11335,93;11493,60;10321,95;3925,52;306027,35
"421170 Orleans";53441,18;48698,07;41827,05;53146,39;51888,85;28777,90;53556,23;45914,33;40926,31;42909,39;48874,24;38862,51;32011,95;37931,93;42463,45;32374,54;26404,82;33892,49;64192,94;67818,78;885913,35
"421175 Otacílio Costa";27524,58;21590,30;14104,03;17936,10;10709,53;25752,74;10405,83;16346,18;25420,23;57730,71;30133,76;25090,81;23878,39;11330,45;14152,08;16941,34;11360,36;15117,47;22787,02;18719,00;417030,91
"421200 Palma Sola";61657,39;47034,20;33558,15;41651,18;69873,36;80514,56;74143,96;67752,69;69958,71;74287,97;41368,87;55713,28;46655,81;51987,24;53576,21;24537,64;23347,67;30240,32;29519,67;32288,16;1009667,04
"421210 Palmitos";87702,67;81612,27;91254,97;105318,92;96727,37;113197,68;100939,27;94754,99;104800,97;100845,51;114235,61;96546,39;101072,79;94657,43;86390,09;66285,13;60281,60;89659,97;78267,30;-;1764550,93
"421220 Papanduva";66290,29;50943,52;50650,45;34055,90;43737,64;37298,57;41375,33;64327,73;51283,03;44106,03;45282,42;52170,84;39566,18;56637,16;49290,23;26075,55;35800,98;26342,63;38267,80;45120,26;898622,54
"421250 Penha";392809,36;363807,25;326526,67;414080,88;424184,82;327931,37;363817,44;387513,25;379741,34;413071,31;405304,86;188126,25;311916,88;302744,78;185765,72;-;-;151728,84;152590,12;186030,92;5677692,06
"421260 Peritiba";3617,07;4486,62;12878,24;17863,87;24387,60;31854,72;25944,03;14861,51;23599,33;20493,75;24536,44;14993,00;6086,76;5950,75;4470,64;1935,58;4619,21;4582,94;12542,58;13578,73;273283,37
"421270 Petrolândia";5730,77;2997,64;9469,89;7403,84;5795,46;6108,91;8147,75;8522,08;7294,90;8582,16;3824,06;3805,66;2537,46;-;1921,72;1929,85;2122,00;1704,20;771,69;1283,36;89953,40
"421290 Pinhalzinho";33499,46;55044,00;51744,63;67329,82;66748,05;59335,87;58582,85;68012,44;51983,23;79905,77;53558,45;33226,91;41862,77;50903,27;46107,35;28537,45;23677,27;24098,84;21775,71;36768,21;952702,35
"421320 Pomerode";106822,67;110549,34;110808,93;93120,04;103222,63;121946,09;125842,30;121840,81;111478,41;119273,04;106236,65;101794,57;106806,49;111024,22;104084,39;106516,28;79025,28;85841,90;79841,67;128693,38;2134769,09
"421330 Ponte Alta";7313,63;2613,22;2654,89;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12581,74
"421340 Ponte Serrada";115380,91;91005,75;138157,94;121559,59;126576,49;137433,99;119021,28;134530,59;124161,34;141729,56;128903,54;116067,72;143398,94;147967,54;166542,60;94514,31;75751,79;102552,17;91604,92;85868,99;2402729,96
"421360 Porto União";426795,82;338394,31;343688,78;321122,79;499476,73;424125,33;364059,52;498227,36;294507,12;375934,24;314484,81;372912,25;441749,83;408928,36;426569,60;396301,13;318781,57;413659,88;466720,49;384012,62;7830452,54
"421370 Pouso Redondo";9262,66;5002,61;10145,99;15503,27;19890,66;24613,93;27557,27;19424,41;17187,02;12871,09;16641,34;18326,53;15539,98;13106,86;14698,97;8493,67;7343,98;10702,70;14411,24;18669,82;299394,00
"421380 Praia Grande";75549,70;67596,38;73840,14;90102,35;123031,45;96852,66;151696,21;62274,36;100312,93;138579,19;100725,02;82202,00;92107,55;100136,00;111875,77;28328,58;43366,97;51772,05;81926,32;71990,21;1744265,84
"421400 Presidente Getúlio";16779,27;31596,91;24655,34;31206,72;22898,20;25833,21;28715,74;19799,75;29540,03;30609,07;30205,14;26982,22;27186,11;18514,47;39931,45;13021,47;11346,73;12062,36;10084,22;11605,52;462573,93
"421420 Quilombo";36963,06;46883,74;53709,13;45938,57;53979,63;55934,60;76009,08;69769,28;52982,47;59005,99;33427,33;44651,11;31079,55;36320,23;41936,45;37621,11;32274,03;46651,90;49410,02;50700,12;955247,40
"421450 Rio do Campo";8567,76;10568,08;10491,48;6566,00;16873,60;15761,57;22183,40;17689,60;15998,86;23771,23;15187,23;12187,03;10968,88;5899,01;11196,92;7202,44;10055,40;6367,36;7934,53;7737,43;243207,81
"421480 Rio do Sul";1982494,36;2100506,27;2218367,63;2197620,17;2212288,11;2193736,49;2321369,66;2257269,19;2348565,75;2257108,52;2222148,17;2231398,56;2231151,39;2217548,52;2222901,00;1947214,54;1823263,17;1767658,70;1865460,19;1706374,92;42324445,31
"421470 Rio dos Cedros";17034,83;10420,66;17500,16;16958,64;27521,60;8804,92;12403,26;12512,19;7432,44;6562,22;9013,11;35716,37;39276,48;28521,05;32152,49;49577,50;82854,08;91875,25;85367,55;84211,67;675716,47
"421490 Rio Fortuna";10404,51;10300,70;11192,67;21082,87;19715,16;10418,43;23102,73;16615,97;14374,38;26408,80;31505,75;15758,27;15717,42;17201,77;19636,55;11630,96;15137,86;13418,11;15565,57;7518,48;326706,96
"421500 Rio Negrinho";120229,06;71318,86;95499,06;76152,17;106033,58;88522,72;138277,02;96711,20;74042,08;124537,64;89016,78;60612,64;90805,59;104147,52;66369,72;67537,35;65214,94;86809,46;100076,49;-;1721913,88
"421530 Salete";15446,55;7201,74;8641,49;9048,75;11003,32;13953,53;12002,51;14500,02;12261,32;12364,04;10858,44;7303,00;13134,32;11564,29;7576,42;8446,49;5858,82;6726,17;5071,32;3817,81;196780,35
"421540 Salto Veloso";8664,90;4255,06;3966,97;2960,48;5004,93;7160,70;9068,76;12908,41;11990,01;17040,73;9038,13;6309,36;7547,95;5153,22;7144,67;1463,47;3008,36;1649,47;3966,11;4377,64;132679,33
"421550 Santa Cecília";87885,62;59551,12;73316,86;98837,94;64924,53;85384,67;110202,55;106394,06;88021,75;99270,19;93865,52;82335,36;83113,53;86445,73;90515,27;100773,51;90111,63;82402,83;105653,59;117688,19;1806694,45
"421570 Santo Amaro da Imperatriz";58798,05;95492,20;57392,85;70259,71;186986,36;138042,98;144434,20;175457,98;120105,58;123700,53;153308,55;123670,95;58877,32;65855,98;31259,00;39666,45;26886,11;45573,55;49778,25;104747,79;1870294,39
"421580 São Bento do Sul";537068,58;495359,91;473892,44;492301,45;498819,33;497818,88;503839,80;476481,23;533034,45;506388,65;469242,04;458842,06;533925,35;495040,69;460930,71;377386,44;374894,52;364622,42;382436,66;327134,09;9259459,70
"421590 São Bonifácio";19758,68;17406,77;30001,54;25680,30;20646,79;17879,93;24000,52;26462,12;21503,51;17370,16;20541,35;16973,62;21093,64;21871,22;14903,99;13756,92;12756,03;13496,23;8990,89;13079,95;378174,16
"421600 São Carlos";58393,10;33214,70;89566,28;120600,16;110538,25;75503,21;72065,20;61647,90;67488,81;84108,83;83985,81;63270,67;63214,01;66368,34;59683,76;39102,49;35811,15;37660,52;35586,63;56742,21;1314552,03
"421620 São Francisco do Sul";67331,24;61307,90;76787,84;73437,96;76996,98;74964,68;60367,72;76518,66;86538,09;66908,40;74490,80;63629,89;66767,17;48258,81;60895,32;52198,56;43802,98;54207,74;55399,41;65415,04;1306225,19
"421630 São João Batista";32023,47;42429,23;59732,77;55392,04;36732,19;49557,60;68148,50;46885,98;54597,46;50299,83;45404,96;71775,70;56846,10;74161,24;62998,57;41528,18;42424,51;58373,87;57194,97;53621,66;1060128,83
"421625 São João do Oeste";10480,72;12792,22;5032,52;3020,26;8321,01;11851,16;10137,54;7249,06;9928,12;8390,61;4892,23;13297,69;5596,22;12026,15;13735,83;2723,52;5910,48;10048,20;7181,57;5274,80;167889,91
"421650 São Joaquim";92916,68;81809,31;78622,32;79813,58;96319,43;123708,41;163146,10;100540,85;93315,80;92417,36;91314,70;102555,34;85275,48;69097,49;68392,93;49691,48;53068,20;36752,07;90780,86;43662,82;1693201,21
"421660 São José";5118053,86;4981874,42;4501233,38;4542816,74;4838231,47;4075844,38;5166589,79;5383050,54;4529347,39;4900943,23;4339879,57;5362023,67;2940329,67;6035692,89;5916472,77;5094157,72;4427190,86;270427,17;4694973,45;3329187,79;90448320,76
"421670 São José do Cedro";19310,89;17388,38;23425,25;26002,96;40974,41;34210,01;35663,22;40289,02;51839,22;51808,93;42106,97;14713,24;16721,70;14402,99;23465,72;8911,66;10245,10;14346,88;14094,66;13289,15;513210,36
"421690 São Lourenço do Oeste";70121,11;57662,74;52440,55;58430,13;68240,11;75763,82;82803,02;85127,51;95287,84;83569,89;74814,75;67145,84;71255,78;45439,43;72111,04;49071,14;47836,03;47970,69;66637,31;73332,10;1345060,83
"421710 São Martinho";5935,01;6810,82;9243,85;13605,22;9847,58;8209,91;-;7138,90;8950,19;13129,63;10000,49;13252,85;9236,16;8445,98;7172,92;6471,80;6774,41;10095,95;7772,85;6969,16;169063,68
"421720 São Miguel do Oeste";459376,17;496487,97;339516,97;760289,18;269698,49;773892,76;556227,38;622798,75;575297,38;540697,24;533572,87;534899,51;580533,06;557072,55;642440,22;465550,98;505060,09;527502,61;525684,43;736577,54;11003176,15
"421725 São Pedro de Alcântara";62564,42;59349,82;67294,45;56572,17;69626,88;67926,77;73851,26;71686,02;72554,77;68519,06;56965,44;81112,42;32638,54;66180,15;81791,53;56841,08;50156,41;54889,75;61981,21;75219,52;1287721,67
"421730 Saudades";42620,99;39410,20;37351,06;40425,10;46656,26;35355,51;33015,85;43093,72;35219,36;37896,70;44228,23;33302,56;28251,92;32019,45;34732,38;18676,47;8334,83;21408,15;14071,73;17688,07;643758,54
"421750 Seara";52841,61;19446,68;27263,83;38394,00;31059,24;55750,92;46066,47;50619,16;55925,11;43815,00;44181,35;55598,14;32791,51;40465,24;44522,91;26481,09;26190,22;28322,43;33773,97;-;753508,88
"421770 Sombrio";74196,05;41203,23;44131,64;65841,27;90559,39;40541,51;94494,59;54034,24;61792,60;109690,07;125087,09;87903,92;78622,92;70264,17;51541,23;16518,45;11252,91;3490,17;4033,17;9476,07;1134674,69
"421780 Taió";60815,88;46061,19;63581,30;77851,79;62619,72;67877,62;72409,08;76844,13;68529,44;98986,40;76389,01;53754,85;65198,70;63170,89;48140,03;32543,46;30169,39;38137,01;36044,19;37068,76;1176192,84
"421790 Tangará";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;603,48;603,48
"421800 Tijucas";40463,80;37864,27;31164,21;40804,85;35122,08;46416,65;39333,57;55896,69;46692,29;50951,40;50345,80;33555,94;26932,45;30013,05;22969,40;40331,06;31757,23;30580,21;51818,09;35975,47;778988,51
"421810 Timbé do Sul";39829,27;76787,55;37357,14;119664,21;86197,39;130619,25;99783,42;58559,23;114566,10;155901,32;81953,80;64444,88;152366,77;88173,12;71457,14;10633,34;12285,04;18882,92;11864,19;110222,69;1541548,77
"421820 Timbó";525675,58;608372,42;542206,45;604514,99;578220,32;523546,84;534247,45;499703,22;545862,86;568498,32;513229,20;464411,92;526487,09;463963,66;451083,05;72339,34;125565,12;116640,41;102126,72;1329858,18;9696553,14
"421830 Três Barras";65785,27;62041,67;58448,20;55598,16;66223,81;52452,43;68013,50;67090,89;76346,32;64922,15;60682,86;69500,30;67835,75;66621,04;53967,89;67284,73;67893,93;65355,34;47221,65;84518,34;1287804,23
"421840 Treze de Maio";94362,66;87348,53;102131,40;115398,05;95418,59;68085,71;105446,92;158771,94;96299,20;100189,72;110536,96;79571,24;54716,27;110924,70;85154,22;60316,19;79200,57;78599,04;75657,97;121507,12;1879637,00
"421860 Trombudo Central";85976,92;76172,90;88794,98;86559,61;97153,06;98497,23;101402,01;101022,26;100106,49;91442,02;94026,18;86266,61;105709,69;95326,42;107537,78;99385,19;100646,02;103464,50;110233,97;105951,91;1935675,75
"421870 Tubarão";3181951,40;2920481,55;2489065,84;2758009,42;2803698,48;2949872,74;3158341,54;3206856,76;2761500,61;3316630,95;3009739,50;3213506,24;2842405,23;2810820,00;2342296,27;2343812,56;2717136,46;2321858,42;2597218,25;2589136,21;56334338,43
"421875 Tunápolis";35809,84;25592,84;24231,64;38475,70;28215,03;44659,94;48216,73;32773,52;42038,43;40784,30;36122,71;33674,35;48448,23;30450,06;43810,55;41214,05;36513,43;33584,53;45465,51;37103,87;747185,26
"421880 Turvo";11231,52;4400,30;6237,17;582,42;865,91;9709,89;26952,15;18486,82;18385,70;14533,19;42852,48;37933,10;19393,30;23827,01;10078,65;12624,61;7861,06;9464,40;9446,48;31907,53;316773,69
"421890 Urubici";7061,22;4809,39;1976,79;12422,79;6969,03;5335,60;9574,11;9470,01;22783,20;11312,69;12345,28;8144,31;11445,73;9401,80;11413,20;13588,87;9188,76;16752,50;3508,96;11138,09;198642,33
"421900 Urussanga";62671,49;88395,38;66694,07;60348,69;80070,60;89554,77;94841,13;90457,57;85053,81;69991,62;33354,56;32635,14;30814,34;75085,31;65082,35;37000,18;47096,12;51198,46;68404,92;55401,67;1284152,18
"421910 Vargeão";8052,28;11304,40;15977,98;9260,17;21569,93;10019,71;21849,27;10449,89;22722,99;16758,01;22253,37;10175,17;18874,92;18396,94;13454,87;3465,75;10215,07;9712,92;13900,42;6046,50;274460,56
"421920 Vidal Ramos";3310,79;2947,85;5666,14;3324,01;3278,67;10156,64;1878,73;7433,86;6146,55;622,42;479,19;-;-;-;2461,33;7909,21;3321,28;1651,30;2332,86;1883,60;64804,43
"421930 Videira";480479,69;341650,54;404760,96;366703,61;501550,83;561071,09;541144,03;493880,29;471630,98;593427,66;434164,51;342500,38;459742,20;435153,35;339077,58;283678,52;375775,33;472054,72;458832,12;458108,21;8815386,60
